#,"Country, Other",Total Cases,Total Deaths,Total Recovered,Active Cases,"Serious, Critical",Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
21,Colombia,6307372,141794.0,6134690.0,30888.0,342.0,122443.0,2753.0,36572720.0,709974.0,51512762.0
22,Poland,6289672,117539.0,5335940.0,836193.0,3086.0,166659.0,3114.0,37335609.0,989290.0,37739785.0
23,Portugal,5490639,25024.0,5394788.0,70827.0,61.0,541453.0,2468.0,44988307.0,4436467.0,10140570.0
24,Ukraine,5177217,109206.0,4973554.0,94457.0,177.0,119865.0,2528.0,19521252.0,451963.0,43192122.0
25,Austria,5118512,20738.0,5006572.0,91202.0,47.0,564539.0,2287.0,197543761.0,21787811.0,9066710.0
26,Greece,4920192,33111.0,4836903.0,50178.0,115.0,476918.0,3209.0,94139966.0,9125063.0,10316637.0
27,Malaysia,4838872,36369.0,4777329.0,25174.0,43.0,145832.0,1096.0,64604259.0,1947021.0,33181072.0
28,DPRK,4772813,74.0,4772739.0,0.0,18.0,183636.0,3.0,2172044.0,871741.5,25990679.0
29,Thailand,4681309,32767.0,4642083.0,6459.0,1496.0,66801.0,468.0,17270775.0,246450.0,70078203.0
30,Israel,4661096,11698.0,4641394.0,8004.0,101.0,499796.0,1254.0,41373364.0,4436346.0,9326000.0
31,Chile,4620377,61141.0,4540886.0,18350.0,124.0,240017.0,3176.0,45128974.0,2344339.0,19250195.0
32,Belgium,4533249,32659.0,4451569.0,49021.0,48.0,388511.0,2799.0,35555508.0,3047194.0,11668278.0
33,Canada,4233468,44992.0,4131367.0,57109.0,99.0,110280.0,1172.0,64928884.0,1691366.0,38388419.0
34,Peru,4143085,216539.0,3914598.0,11948.0,147.0,122998.0,6429.0,35126382.0,1042815.0,33684208.0
35,Czechia,4100480,41059.0,4035333.0,24088.0,39.0,381910.0,3824.0,56212735.0,5235528.0,10736784.0
36,Switzerland,4084307,14183.0,4012833.0,57291.0,54.0,465520.0,1617.0,22318542.0,2543819.0,8773637.0
37,South Africa,4018769,102185.0,3909265.0,7319.0,192.0,66146.0,1682.0,26174429.0,430811.0,60756135.0
38,Philippines,3945566,62916.0,3854478.0,28172.0,696.0,35069.0,559.0,32796350.0,291500.0,112508994.0
39,Romania,3267370,67016.0,3180124.0,20230.0,123.0,171684.0,3521.0,25094131.0,1318569.0,19031335.0
40,Denmark,3110831,7065.0,3093396.0,10370.0,18.0,533138.0,1211.0,128397719.0,22004939.0,5834950.0
41,Sweden,2588441,20194.0,2548125.0,20122.0,13.0,253298.0,1976.0,18965590.0,1855920.0,10218971.0
42,Iraq,2459982,25355.0,2433704.0,923.0,21.0,58342.0,601.0,19239264.0,456286.0,42164965.0
43,Serbia,2359530,17000.0,2298536.0,43994.0,33.0,272683.0,1965.0,11030499.0,1274758.0,8653016.0
44,Hungary,2094142,47503.0,2014175.0,32464.0,18.0,217998.0,4945.0,11394556.0,1186160.0,9606259.0
45,Bangladesh,2024489,29362.0,1964501.0,30626.0,1331.0,12059.0,175.0,14872260.0,88586.0,167885689.0
46,Singapore,1904192,1617.0,1821160.0,81415.0,9.0,320380.0,272.0,24345019.0,4096043.0,5943546.0
47,Slovakia,1843220,20455.0,1817938.0,4827.0,22.0,337574.0,3746.0,7298163.0,1336613.0,5460193.0
48,Georgia,1780691,16900.0,1637293.0,126498.0,18.0,448679.0,4258.0,16920079.0,4263340.0,3968738.0
49,New Zealand,1779476,2959.0,1767660.0,8857.0,18.0,363292.0,604.0,7544063.0,1540170.0,4898203.0
50,Hong Kong,1761381,10153.0,1469240.0,281988.0,8.0,231630.0,1335.0,54352132.0,7147553.0,7604299.0
51,Jordan,1746997,14122.0,1731007.0,1868.0,59.0,169597.0,1371.0,17201885.0,1669945.0,10300869.0
52,Ireland,1663653,7905.0,1648405.0,7343.0,13.0,331392.0,1575.0,12708583.0,2531490.0,5020199.0
53,Pakistan,1572598,30616.0,1536924.0,5058.0,47.0,6853.0,133.0,30477451.0,132806.0,229488994.0
54,Norway,1462318,4098.0,1457108.0,1112.0,20.0,265327.0,744.0,11002430.0,1996315.0,5511370.0
55,Kazakhstan,1393468,13690.0,1378440.0,1338.0,24.0,72557.0,713.0,11575012.0,602707.0,19205043.0
56,Finland,1292940,5981.0,1263711.0,23248.0,21.0,232754.0,1077.0,11505032.0,2071128.0,5554960.0
57,Morocco,1264935,16278.0,1248543.0,114.0,293.0,33488.0,431.0,12577650.0,332982.0,37772756.0
58,Bulgaria,1258670,37714.0,1211397.0,9559.0,43.0,183892.0,5510.0,10559171.0,1542702.0,6844597.0
59,Lithuania,1249134,9320.0,1216151.0,23663.0,12.0,469298.0,3502.0,10174473.0,3822535.0,2661708.0
60,Croatia,1231575,16902.0,1209524.0,5149.0,10.0,303397.0,4164.0,5225875.0,1287388.0,4059286.0
61,Lebanon,1215511,10674.0,1087587.0,117250.0,74.0,181831.0,1597.0,4795578.0,717380.0,6684849.0
62,Slovenia,1181073,6820.0,1145051.0,29202.0,22.0,568361.0,3282.0,2743244.0,1320115.0,2078034.0
63,Tunisia,1145686,29249.0,225011.0,1246.0,99.0,95104.0,2428.0,4948208.0,410754.0,12046656.0
64,Guatemala,1123465,19789.0,1102988.0,688.0,5.0,60453.0,1065.0,5884813.0,316660.0,18584039.0
65,Cuba,1111179,8530.0,1102548.0,101.0,23.0,98285.0,754.0,14149157.0,1251512.0,11305652.0
66,Bolivia,1108195,22234.0,1051789.0,34172.0,220.0,92406.0,1854.0,2705422.0,225590.0,11992656.0
67,Costa Rica,1072807,8913.0,860711.0,203183.0,52.0,207012.0,1720.0,4659757.0,899158.0,5182354.0
68,UAE,1027031,2345.0,1006369.0,18317.0,18.0,101870.0,233.0,190586733.0,18904066.0,10081785.0
69,Ecuador,1003778,35894.0,964320.0,3564.0,759.0,55416.0,1982.0,3082403.0,170173.0,18113361.0
70,Nepal,999712,12018.0,986617.0,1077.0,18.0,33075.0,398.0,5936702.0,196413.0,30225582.0
71,Belarus,994037,7118.0,985592.0,1327.0,18.0,105381.0,755.0,13646641.0,1446722.0,9432800.0
72,Panama,986866,8497.0,976873.0,1496.0,16.0,221919.0,1911.0,7062027.0,1588056.0,4446964.0
73,Uruguay,985422,7485.0,976760.0,1177.0,18.0,281870.0,2141.0,6114822.0,1749083.0,3496016.0
74,Mongolia,982864,2179.0,979439.0,1246.0,192.0,290954.0,645.0,4030048.0,1193000.0,3378078.0
75,Latvia,929051,5990.0,891237.0,31824.0,5.0,502506.0,3240.0,7650009.0,4137741.0,1848837.0
76,Azerbaijan,821162,9910.0,810181.0,1071.0,18.0,79723.0,962.0,7245111.0,703395.0,10300205.0
77,Saudi Arabia,816389,9351.0,803546.0,3492.0,32.0,22776.0,261.0,44321147.0,1236470.0,35844909.0
78,Paraguay,716059,19583.0,696110.0,366.0,7.0,98012.0,2680.0,2657506.0,363751.0,7305843.0
79,Bahrain,680271,1520.0,675724.0,3027.0,2.0,381321.0,852.0,10376306.0,5816370.0,1783983.0
80,Sri Lanka,670763,16761.0,653779.0,223.0,18.0,31089.0,777.0,6486117.0,300619.0,21575842.0
81,Kuwait,658520,2563.0,655316.0,641.0,3.0,150336.0,585.0,8365279.0,1909739.0,4380326.0
82,Dominican Republic,644016,4384.0,638911.0,721.0,4.0,58248.0,397.0,3657057.0,330765.0,11056370.0
83,Myanmar,622802,19458.0,597898.0,5446.0,18.0,11277.0,352.0,9056450.0,163985.0,55227143.0
84,Palestine,620548,5403.0,608749.0,6396.0,17.0,116087.0,1011.0,3078533.0,575907.0,5345541.0
85,Estonia,601869,2681.0,524990.0,74198.0,4.0,455303.0,2028.0,3536858.0,2675566.0,1321910.0
86,Moldova,589388,11844.0,504142.0,73402.0,49.0,146863.0,2951.0,3216305.0,801437.0,4013171.0
87,Cyprus,585313,1180.0,578452.0,5681.0,60.0,478437.0,965.0,9640118.0,7879860.0,1223387.0
88,Venezuela,544687,5814.0,538033.0,840.0,36.0,18611.0,199.0,3359014.0,114771.0,29266991.0
89,Egypt,515645,24613.0,442182.0,48850.0,122.0,4857.0,232.0,3693367.0,34792.0,106156692.0
90,Libya,506991,6437.0,500507.0,47.0,101.0,72008.0,914.0,2481983.0,352517.0,7040745.0
91,Ethiopia,493563,7572.0,471918.0,14073.0,1.0,4085.0,63.0,5258807.0,43529.0,120812698.0
92,Réunion,472336,893.0,418572.0,52871.0,10.0,520159.0,983.0,1603660.0,1766027.0,908061.0
93,Honduras,456391,10993.0,225011.0,1246.0,105.0,44651.0,1076.0,1528531.0,149544.0,10221247.0
94,Qatar,450448,682.0,443418.0,6348.0,4.0,151161.0,229.0,3951470.0,1326034.0,2979915.0
95,Armenia,442875,8683.0,430192.0,4000.0,18.0,149018.0,2922.0,3210961.0,1080416.0,2971966.0
96,Bosnia and Herzegovina,398668,16136.0,376654.0,5878.0,18.0,122693.0,4966.0,1861041.0,572748.0,3249317.0
97,Oman,397993,4260.0,384669.0,9064.0,2.0,74755.0,800.0,25000000.0,4695724.0,5323993.0
98,North Macedonia,342775,9534.0,332806.0,435.0,18.0,164692.0,4581.0,2130257.0,1023520.0,2081304.0
99,Kenya,338420,5678.0,332663.0,79.0,1.0,6020.0,101.0,3881967.0,69055.0,56215221.0
100,Zambia,333531,4017.0,329375.0,139.0,18.0,17130.0,206.0,3731374.0,191645.0,19470234.0
101,Albania,332173,3588.0,326729.0,1856.0,18.0,115886.0,1252.0,1941032.0,677173.0,2866374.0
102,Botswana,326308,2789.0,322955.0,564.0,1.0,133669.0,1142.0,2026898.0,830300.0,2441162.0
103,Luxembourg,288658,1123.0,283668.0,3867.0,18.0,449363.0,1748.0,4402293.0,6853194.0,642371.0
104,Montenegro,280002,2781.0,276154.0,1067.0,6.0,445899.0,4429.0,2624193.0,4178984.0,627950.0
105,Algeria,270668,6879.0,182306.0,81483.0,6.0,5968.0,152.0,230861.0,5091.0,45350148.0
106,Nigeria,265382,3155.0,258381.0,3846.0,11.0,1224.0,15.0,5441162.0,25104.0,216746934.0
107,Zimbabwe,257409,5602.0,251281.0,526.0,12.0,16790.0,365.0,2511501.0,163814.0,15331428.0
108,China,250449,5226.0,242254.0,2969.0,36.0,173.0,4.0,160000000.0,110461.0,1448471400.0
109,Uzbekistan,244199,1637.0,241486.0,1076.0,23.0,7103.0,48.0,1377915.0,40077.0,34382084.0
